scientific name,eBird species group
Nothura boraquira,Tinamous
Nothura minor,Tinamous
Nothura darwinii,Tinamous
Nothura darwinii peruviana,Tinamous
Nothura darwinii agassizii,Tinamous
Nothura darwinii boliviana,Tinamous
Nothura darwinii salvadorii,Tinamous
Nothura darwinii darwinii,Tinamous
Nothura maculosa,Tinamous
Nothura maculosa cearensis,Tinamous
Nothura maculosa major,Tinamous
Nothura maculosa paludivaga,Tinamous
Nothura maculosa maculosa,Tinamous
Nothura maculosa pallida,Tinamous
Nothura maculosa annectens,Tinamous
Nothura maculosa submontana,Tinamous
Nothura maculosa nigroguttata,Tinamous
Nothura chacoensis,Tinamous
Taoniscus nanus,Tinamous
Eudromia elegans,Tinamous
Eudromia elegans intermedia,Tinamous
Eudromia elegans magnistriata,Tinamous
Eudromia elegans riojana,Tinamous
Eudromia elegans albida,Tinamous
Eudromia elegans wetmorei,Tinamous
Eudromia elegans devia,Tinamous
Eudromia elegans numida,Tinamous
Eudromia elegans multiguttata,Tinamous
Eudromia elegans elegans,Tinamous
Eudromia elegans patagonica,Tinamous
Eudromia formosa,Tinamous
Eudromia formosa mira,Tinamous
Eudromia formosa formosa,Tinamous
Tinamotis pentlandii,Tinamous
Tinamotis ingoufi,Tinamous
Tinamidae sp.,Tinamous
Casuarius casuarius,Cassowaries and Emu
Casuarius bennetti,Cassowaries and Emu
Casuarius unappendiculatus,Cassowaries and Emu
Dromaius novaehollandiae,Cassowaries and Emu
Dromaius novaehollandiae novaehollandiae,Cassowaries and Emu
Dromaius novaehollandiae baudinianus,Cassowaries and Emu
Dromaius novaehollandiae minor,Cassowaries and Emu
Dromaius novaehollandiae diemenensis,Cassowaries and Emu
Apteryx australis,Kiwis
Apteryx australis australis,Kiwis
Apteryx australis lawryi,Kiwis
Apteryx rowi,Kiwis
Apteryx mantelli,Kiwis
Apteryx owenii,Kiwis
Apteryx haastii,Kiwis
Anhima cornuta,Screamers
Chauna torquata,Screamers
Chauna chavaria,Screamers
Anseranas semipalmata,Waterfowl
Dendrocygna guttata,Waterfowl
Dendrocygna eytoni,Waterfowl
Dendrocygna viduata,Waterfowl
Dendrocygna guttata x viduata,Waterfowl
Dendrocygna autumnalis,Waterfowl
Dendrocygna autumnalis fulgens,Waterfowl
Dendrocygna autumnalis autumnalis,Waterfowl
Dendrocygna arborea,Waterfowl
Dendrocygna autumnalis x arborea,Waterfowl
Dendrocygna bicolor,Waterfowl
Dendrocygna autumnalis x bicolor,Waterfowl
Dendrocygna arcuata,Waterfowl
Dendrocygna arcuata arcuata,Waterfowl
Dendrocygna arcuata australis,Waterfowl
Dendrocygna arcuata pygmaea,Waterfowl
Dendrocygna javanica,Waterfowl
Dendrocygna bicolor/javanica,Waterfowl
Dendrocygna sp.,Waterfowl
Thalassornis leuconotus,Waterfowl
Thalassornis leuconotus leuconotus,Waterfowl
Thalassornis leuconotus insularis,Waterfowl
Anser indicus,Waterfowl
Anser canagicus,Waterfowl
Anser caerulescens,Waterfowl
Anser caerulescens caerulescens,Waterfowl
Anser caerulescens atlanticus,Waterfowl
Anser rossii,Waterfowl
Anser caerulescens x rossii,Waterfowl
Anser caerulescens/rossii,Waterfowl
Anser anser,Waterfowl
Anser anser anser,Waterfowl
Anser anser rubrirostris,Waterfowl
Anser anser (Domestic type),Waterfowl
Anser cygnoides,Waterfowl
Anser cygnoides (Domestic type),Waterfowl
Anser anser x cygnoides (Domestic type),Waterfowl
Anser albifrons,Waterfowl
Anser albifrons flavirostris,Waterfowl
Anser albifrons albifrons,Waterfowl
Anser albifrons gambelli/sponsa,Waterfowl
Anser albifrons gambelli,Waterfowl
Anser albifrons sponsa,Waterfowl
Anser albifrons elgasi,Waterfowl
Anser indicus x albifrons,Waterfowl
Anser caerulescens x albifrons,Waterfowl
Anser erythropus,Waterfowl
Anser albifrons/erythropus,Waterfowl
Anser fabalis,Waterfowl
Anser fabalis fabalis,Waterfowl
Anser fabalis johanseni,Waterfowl
Anser fabalis middendorffii,Waterfowl
Anser serrirostris,Waterfowl
Anser serrirostris rossicus,Waterfowl
Anser serrirostris serrirostris,Waterfowl
Anser fabalis/serrirostris,Waterfowl
Anser brachyrhynchus,Waterfowl
Anser sp. (Domestic type),Waterfowl
Anser sp.,Waterfowl
Branta bernicla,Waterfowl
Branta bernicla bernicla,Waterfowl
Branta bernicla hrota,Waterfowl
Branta bernicla nigricans,Waterfowl
Branta bernicla (Gray-bellied),Waterfowl
Branta bernicla hrota x nigricans,Waterfowl
Anser caerulescens x Branta bernicla,Waterfowl
Branta leucopsis,Waterfowl
Anser brachyrhynchus x Branta leucopsis,Waterfowl
Anser albifrons x Branta leucopsis,Waterfowl
Anser anser x Branta leucopsis,Waterfowl
Branta hutchinsii,Waterfowl
Branta hutchinsii leucopareia,Waterfowl
Branta hutchinsii hutchinsii,Waterfowl
Branta hutchinsii minima,Waterfowl
Branta hutchinsii taverneri,Waterfowl
Anser canagicus x Branta hutchinsii,Waterfowl
Anser caerulescens x Branta hutchinsii,Waterfowl
Anser rossii x Branta hutchinsii,Waterfowl
Branta bernicla x hutchinsii,Waterfowl
Anser albifrons x Branta hutchinsii,Waterfowl
Branta leucopsis x hutchinsii,Waterfowl
Branta canadensis,Waterfowl
Branta canadensis moffitti/maxima,Waterfowl
Branta canadensis moffitti,Waterfowl
Branta canadensis maxima,Waterfowl
Branta canadensis occidentalis/fulva,Waterfowl
Branta canadensis occidentalis,Waterfowl
Branta canadensis fulva,Waterfowl
Branta canadensis [canadensis Group],Waterfowl
Branta canadensis parvipes,Waterfowl
Branta canadensis canadensis,Waterfowl
Branta canadensis interior,Waterfowl
Anser indicus x Branta canadensis,Waterfowl
Anser cygnoides (Domestic type) x Branta canadensis,Waterfowl
Anser brachyrhynchus x Branta canadensis,Waterfowl
Anser albifrons x Branta canadensis,Waterfowl
Anser anser x Branta canadensis,Waterfowl
Anser anser (Domestic type) x Branta canadensis,Waterfowl
Anser sp. (Domestic type) x Branta canadensis,Waterfowl
Anser caerulescens x Branta canadensis,Waterfowl
Anser rossii x Branta canadensis,Waterfowl
Branta leucopsis x canadensis,Waterfowl
Branta hutchinsii/canadensis,Waterfowl
Anser caerulescens/rossii x Branta hutchinsii/canadensis,Waterfowl
Branta sandvicensis,Waterfowl
Branta ruficollis,Waterfowl
Branta sp.,Waterfowl
Anser/Branta sp.,Waterfowl
Cereopsis novaehollandiae,Waterfowl
Cereopsis novaehollandiae grisea,Waterfowl
Cereopsis novaehollandiae novaehollandiae,Waterfowl
Stictonetta naevosa,Waterfowl
Cyanochen cyanoptera,Waterfowl
Cygnus olor,Waterfowl
Cygnus atratus,Waterfowl
Cygnus melancoryphus,Waterfowl
Cygnus buccinator,Waterfowl
Cygnus olor x buccinator,Waterfowl
Cygnus columbianus,Waterfowl
Cygnus columbianus columbianus,Waterfowl
Cygnus columbianus bewickii,Waterfowl
Cygnus columbianus columbianus x bewickii,Waterfowl
Cygnus buccinator x columbianus,Waterfowl
Cygnus buccinator/columbianus,Waterfowl
Cygnus cygnus,Waterfowl
Cygnus buccinator x cygnus,Waterfowl
Cygnus columbianus/cygnus,Waterfowl
Cygnus sp.,Waterfowl
Coscoroba coscoroba,Waterfowl
Sarkidiornis melanotos,Waterfowl
Sarkidiornis sylvicola,Waterfowl
Pteronetta hartlaubii,Waterfowl
Oressochen jubatus,Waterfowl
Oressochen melanopterus,Waterfowl
Chloephaga picta,Waterfowl
Chloephaga picta picta,Waterfowl
Chloephaga picta leucoptera,Waterfowl
Chloephaga picta (White-breasted),Waterfowl
Chloephaga picta (Bar-breasted),Waterfowl
Chloephaga hybrida,Waterfowl
Chloephaga hybrida hybrida,Waterfowl
Chloephaga hybrida malvinarum,Waterfowl
Chloephaga poliocephala,Waterfowl
Chloephaga rubidiceps,Waterfowl
Chloephaga sp.,Waterfowl
Radjah radjah,Waterfowl
Radjah radjah radjah,Waterfowl
Radjah radjah rufitergum,Waterfowl
Alopochen aegyptiaca,Waterfowl
Tadorna ferruginea,Waterfowl
Tadorna cana,Waterfowl
Tadorna tadornoides,Waterfowl
Tadorna variegata,Waterfowl
Tadorna tadorna,Waterfowl
Tadorna ferruginea x tadorna,Waterfowl
Tadorna cristata,Waterfowl
Plectropterus gambensis,Waterfowl
Plectropterus gambensis gambensis,Waterfowl
Plectropterus gambensis niger,Waterfowl
Tachyeres patachonicus,Waterfowl
Tachyeres pteneres,Waterfowl
Tachyeres brachypterus,Waterfowl
Tachyeres leucocephalus,Waterfowl
Tachyeres sp.,Waterfowl
Lophonetta specularioides,Waterfowl
Lophonetta specularioides alticola,Waterfowl
Lophonetta specularioides specularioides,Waterfowl
Speculanas specularis,Waterfowl
Cairina moschata,Waterfowl
Cairina moschata (Established Feral),Waterfowl
Cairina moschata (Domestic type),Waterfowl
Nettapus pulchellus,Waterfowl
Nettapus coromandelianus,Waterfowl
Nettapus coromandelianus coromandelianus,Waterfowl
Nettapus coromandelianus albipennis,Waterfowl
Nettapus auritus,Waterfowl
Callonetta leucophrys,Waterfowl
Aix sponsa,Waterfowl
Aix galericulata,Waterfowl
Aix sponsa x galericulata,Waterfowl
Chenonetta jubata,Waterfowl
Amazonetta brasiliensis,Waterfowl
Amazonetta brasiliensis brasiliensis,Waterfowl
Amazonetta brasiliensis ipecutiri,Waterfowl
Hymenolaimus malacorhynchos,Waterfowl
Merganetta armata,Waterfowl
Merganetta armata colombiana,Waterfowl
Merganetta armata leucogenis,Waterfowl
Merganetta armata turneri,Waterfowl
Merganetta armata garleppi,Waterfowl
Merganetta armata berlepschi,Waterfowl
Merganetta armata armata,Waterfowl
Salvadorina waigiuensis,Waterfowl
Sibirionetta formosa,Waterfowl
Spatula querquedula,Waterfowl
Spatula hottentota,Waterfowl
Spatula versicolor,Waterfowl
Spatula versicolor versicolor,Waterfowl
Spatula versicolor fretensis,Waterfowl
Spatula puna,Waterfowl
Spatula discors,Waterfowl
Spatula cyanoptera,Waterfowl
Spatula cyanoptera septentrionalium,Waterfowl
Spatula cyanoptera tropica,Waterfowl
Spatula cyanoptera borreroi,Waterfowl
Spatula cyanoptera orinoma,Waterfowl
Spatula cyanoptera cyanoptera,Waterfowl
Spatula discors x cyanoptera,Waterfowl
Spatula discors/cyanoptera,Waterfowl
Spatula platalea,Waterfowl
Spatula smithii,Waterfowl
Spatula rhynchotis,Waterfowl
Spatula clypeata,Waterfowl
Spatula querquedula x clypeata,Waterfowl
Spatula discors x clypeata,Waterfowl
Spatula cyanoptera x clypeata,Waterfowl
Mareca strepera,Waterfowl
Mareca strepera strepera,Waterfowl
Mareca strepera couesi,Waterfowl
Spatula clypeata x Mareca strepera,Waterfowl
Mareca falcata,Waterfowl
Mareca penelope,Waterfowl
Mareca strepera x penelope,Waterfowl
Mareca americana,Waterfowl
Aix sponsa x Mareca americana,Waterfowl
Spatula clypeata x Mareca americana,Waterfowl
Mareca strepera x americana,Waterfowl
Mareca penelope x americana,Waterfowl
Mareca penelope/americana,Waterfowl
Mareca sibilatrix,Waterfowl
Anas sparsa,Waterfowl
Anas sparsa leucostigma,Waterfowl
Anas sparsa sparsa,Waterfowl
Anas undulata,Waterfowl
Anas undulata undulata,Waterfowl
Anas undulata ruppelli,Waterfowl
Anas melleri,Waterfowl
Anas superciliosa,Waterfowl
Anas superciliosa superciliosa,Waterfowl
Anas superciliosa pelewensis,Waterfowl
Anas laysanensis,Waterfowl
Anas wyvilliana,Waterfowl
Anas luzonica,Waterfowl
Anas poecilorhyncha,Waterfowl
Anas poecilorhyncha poecilorhyncha,Waterfowl
Anas poecilorhyncha haringtoni,Waterfowl
Anas zonorhyncha,Waterfowl
Anas poecilorhyncha/zonorhyncha,Waterfowl
Anas platyrhynchos,Waterfowl
Anas platyrhynchos platyrhynchos,Waterfowl
Anas platyrhynchos conboschas,Waterfowl
Anas platyrhynchos (Domestic type),Waterfowl
Cairina moschata x Anas platyrhynchos,Waterfowl
Aix sponsa x Anas platyrhynchos,Waterfowl
Spatula clypeata x Anas platyrhynchos,Waterfowl
Mareca strepera x Anas platyrhynchos,Waterfowl
Mareca penelope x Anas platyrhynchos,Waterfowl
Mareca americana x Anas platyrhynchos,Waterfowl
Anas undulata x platyrhynchos,Waterfowl
Anas platyrhynchos x superciliosa,Waterfowl
Anas platyrhynchos x poecilorhyncha,Waterfowl
Anas platyrhynchos x zonorhyncha,Waterfowl
Anas platyrhynchos x wyvilliana,Waterfowl
Anas diazi,Waterfowl
Anas platyrhynchos x diazi,Waterfowl
Anas platyrhynchos/diazi,Waterfowl
Anas rubripes,Waterfowl
Anas platyrhynchos x rubripes,Waterfowl
Anas platyrhynchos/rubripes,Waterfowl
Anas fulvigula,Waterfowl
Anas fulvigula fulvigula,Waterfowl
Anas fulvigula maculosa,Waterfowl
Anas platyrhynchos x fulvigula,Waterfowl
Anas platyrhynchos/fulvigula,Waterfowl
Anas platyrhynchos x diazi/fulvigula,Waterfowl
Anas diazi x fulvigula,Waterfowl
Anas diazi/fulvigula,Waterfowl
Anas rubripes/fulvigula,Waterfowl
Anas capensis,Waterfowl
Anas bahamensis,Waterfowl
Anas bahamensis bahamensis/rubrirostris,Waterfowl
Anas bahamensis bahamensis,Waterfowl
Anas bahamensis rubrirostris,Waterfowl
Anas bahamensis galapagensis,Waterfowl
Anas platyrhynchos x bahamensis,Waterfowl
Anas erythrorhyncha,Waterfowl
Anas acuta,Waterfowl
Sibirionetta formosa x Anas acuta,Waterfowl
Mareca strepera x Anas acuta,Waterfowl
Mareca penelope x Anas acuta,Waterfowl
Mareca americana x Anas acuta,Waterfowl
Anas platyrhynchos x acuta,Waterfowl
Anas rubripes x acuta,Waterfowl
Anas eatoni,Waterfowl
Anas eatoni eatoni,Waterfowl
Anas eatoni drygalskii,Waterfowl
Anas georgica,Waterfowl
Anas georgica georgica,Waterfowl
Anas georgica spinicauda/niceforoi,Waterfowl
Anas georgica spinicauda,Waterfowl
Anas georgica niceforoi,Waterfowl
Anas crecca,Waterfowl
Anas crecca crecca/nimia,Waterfowl
Anas crecca crecca,Waterfowl
Anas crecca nimia,Waterfowl
Anas crecca carolinensis,Waterfowl
Anas crecca crecca/nimia x carolinensis,Waterfowl
Spatula querquedula/Anas crecca,Waterfowl
Spatula discors x Anas crecca,Waterfowl
Spatula cyanoptera x Anas crecca,Waterfowl
Mareca strepera x Anas crecca,Waterfowl
Mareca americana x Anas crecca,Waterfowl
Anas platyrhynchos x crecca,Waterfowl
Anas acuta x crecca,Waterfowl
Anas andium,Waterfowl
Anas andium altipetens,Waterfowl
Anas andium andium,Waterfowl
Anas flavirostris,Waterfowl
Anas flavirostris flavirostris,Waterfowl
Anas flavirostris oxyptera,Waterfowl
Anas andium/flavirostris,Waterfowl
Anas albogularis,Waterfowl
Anas gibberifrons,Waterfowl
Anas gracilis,Waterfowl
Anas gracilis gracilis,Waterfowl
Anas gracilis remissa,Waterfowl
Anas superciliosa x gracilis,Waterfowl
Anas castanea,Waterfowl
Anas superciliosa x castanea,Waterfowl
Anas gracilis x castanea,Waterfowl
Anas bernieri,Waterfowl
Anas aucklandica,Waterfowl
Anas nesiotis,Waterfowl
Anas chlorotis,Waterfowl
Anas platyrhynchos x chlorotis,Waterfowl
Anas sp.,Waterfowl
Anatidae sp. (teal sp.),Waterfowl
Anatidae sp. (dabbling duck sp.),Waterfowl
Malacorhynchus membranaceus,Waterfowl
Marmaronetta angustirostris,Waterfowl
Rhodonessa caryophyllacea,Waterfowl
Asarcornis scutulata,Waterfowl
Netta rufina,Waterfowl
Anas platyrhynchos x Netta rufina,Waterfowl
Netta erythrophthalma,Waterfowl
Netta erythrophthalma erythrophthalma,Waterfowl
Netta erythrophthalma brunnea,Waterfowl
Netta peposaca,Waterfowl
Aythya valisineria,Waterfowl
Aythya americana,Waterfowl
Anas platyrhynchos x Aythya americana,Waterfowl
Aythya valisineria x americana,Waterfowl
Aythya ferina,Waterfowl
Aythya collaris,Waterfowl
Aythya valisineria x collaris,Waterfowl
Aythya americana x collaris,Waterfowl
Aythya nyroca,Waterfowl
Aythya ferina x nyroca,Waterfowl
Aythya innotata,Waterfowl
Aythya baeri,Waterfowl
Aythya nyroca x baeri,Waterfowl
Aythya nyroca/baeri,Waterfowl
Aythya australis,Waterfowl
Anas gracilis x Aythya australis,Waterfowl
Aythya fuligula,Waterfowl
Aythya ferina x fuligula,Waterfowl
Aythya collaris x fuligula,Waterfowl
Aythya nyroca x fuligula,Waterfowl
Aythya novaeseelandiae,Waterfowl
Aythya marila,Waterfowl
Aythya marila marila,Waterfowl
Aythya marila nearctica,Waterfowl
Aythya americana x marila,Waterfowl
Aythya collaris x marila,Waterfowl
Aythya fuligula x marila,Waterfowl
Aythya affinis,Waterfowl
Aythya americana x affinis,Waterfowl
Aythya collaris x affinis,Waterfowl
Aythya fuligula x affinis,Waterfowl
Aythya marila/affinis,Waterfowl
Aythya americana x marila/affinis,Waterfowl
Aythya collaris x marila/affinis,Waterfowl
Aythya fuligula x marila/affinis,Waterfowl
Aythya sp.,Waterfowl
Polysticta stelleri,Waterfowl
Somateria fischeri,Waterfowl
Somateria spectabilis,Waterfowl
Somateria mollissima,Waterfowl
Somateria mollissima mollissima,Waterfowl
Somateria mollissima faeroeensis,Waterfowl
Somateria mollissima v-nigrum,Waterfowl
Somateria mollissima dresseri,Waterfowl
Somateria mollissima borealis,Waterfowl
Somateria mollissima sedentaria,Waterfowl
Anas platyrhynchos x Somateria mollissima,Waterfowl
Somateria spectabilis/mollissima,Waterfowl
Somateria spectabilis x mollissima,Waterfowl
Somateria sp.,Waterfowl
Histrionicus histrionicus,Waterfowl
Camptorhynchus labradorius,Waterfowl
Melanitta perspicillata,Waterfowl
Melanitta fusca,Waterfowl
Melanitta deglandi,Waterfowl
Melanitta deglandi stejnegeri,Waterfowl
Melanitta deglandi deglandi,Waterfowl
Melanitta perspicillata x deglandi,Waterfowl
Melanitta fusca/deglandi,Waterfowl
Melanitta nigra,Waterfowl
Melanitta americana,Waterfowl
Melanitta perspicillata/americana,Waterfowl
Melanitta nigra/americana,Waterfowl
Melanitta sp.,Waterfowl
Clangula hyemalis,Waterfowl
Bucephala albeola,Waterfowl
Bucephala clangula,Waterfowl
Bucephala clangula clangula,Waterfowl
Bucephala clangula americana,Waterfowl
Bucephala albeola x clangula,Waterfowl
Bucephala albeola x clangula/islandica,Waterfowl
Bucephala islandica,Waterfowl
Bucephala clangula x islandica,Waterfowl
Bucephala clangula/islandica,Waterfowl
Mergellus albellus,Waterfowl
Lophodytes cucullatus,Waterfowl
Aix sponsa x Lophodytes cucullatus,Waterfowl
Bucephala albeola x Lophodytes cucullatus,Waterfowl
Bucephala clangula x Lophodytes cucullatus,Waterfowl
Bucephala islandica x Lophodytes cucullatus,Waterfowl
Bucephala clangula/islandica x Lophodytes cucullatus,Waterfowl
Mergus australis,Waterfowl
Mergus merganser,Waterfowl
Mergus merganser merganser/orientalis,Waterfowl
Mergus merganser merganser,Waterfowl
Mergus merganser orientalis,Waterfowl
Mergus merganser americanus,Waterfowl
Somateria mollissima x Mergus merganser,Waterfowl
Lophodytes cucullatus x Mergus merganser,Waterfowl
Mergus octosetaceus,Waterfowl
Mergus serrator,Waterfowl
Aythya collaris x Mergus serrator,Waterfowl
Mergus merganser x serrator,Waterfowl
Mergus merganser/serrator,Waterfowl
Mergus squamatus,Waterfowl
Mergellus/Lophodytes/Mergus sp.,Waterfowl
Heteronetta atricapilla,Waterfowl
Nomonyx dominicus,Waterfowl
Oxyura jamaicensis,Waterfowl
Oxyura ferruginea,Waterfowl
Oxyura ferruginea andina,Waterfowl
Oxyura ferruginea ferruginea,Waterfowl
Nomonyx dominicus/Oxyura jamaicensis,Waterfowl
Oxyura leucocephala,Waterfowl
Oxyura jamaicensis x leucocephala,Waterfowl
Oxyura maccoa,Waterfowl
Oxyura vittata,Waterfowl
Oxyura jamaicensis/vittata,Waterfowl
Oxyura australis,Waterfowl
Biziura lobata,Waterfowl
Biziura lobata lobata,Waterfowl
Biziura lobata menziesi,Waterfowl
Anatinae sp.,Waterfowl
Anatidae sp.,Waterfowl
Alectura lathami,Megapodes
Alectura lathami purpureicollis,Megapodes
Alectura lathami lathami,Megapodes
Aepypodius arfakianus,Megapodes
Aepypodius arfakianus arfakianus,Megapodes
Aepypodius arfakianus misoliensis,Megapodes
Aepypodius bruijnii,Megapodes
Talegalla cuvieri,Megapodes
Talegalla cuvieri cuvieri,Megapodes
Talegalla cuvieri granti,Megapodes
Talegalla fuscirostris,Megapodes
Talegalla fuscirostris meyeri,Megapodes
Talegalla fuscirostris aruensis,Megapodes
Talegalla fuscirostris occidentis,Megapodes
Talegalla fuscirostris fuscirostris,Megapodes
Talegalla jobiensis,Megapodes
Talegalla jobiensis jobiensis,Megapodes
Talegalla jobiensis longicaudus,Megapodes
Talegalla sp.,Megapodes
Leipoa ocellata,Megapodes
Macrocephalon maleo,Megapodes
Eulipoa wallacei,Megapodes
Megapodius pritchardii,Megapodes
Megapodius laperouse,Megapodes
Megapodius laperouse laperouse,Megapodes
Megapodius laperouse senex,Megapodes
Megapodius nicobariensis,Megapodes
Megapodius nicobariensis nicobariensis,Megapodes
Megapodius nicobariensis abbotti,Megapodes
Megapodius cumingii,Megapodes
Megapodius cumingii dillwyni,Megapodes
Megapodius cumingii pusillus,Megapodes
Megapodius cumingii cumingii,Megapodes
Megapodius cumingii tabon,Megapodes
